@RELATION weather2_clean60

@ATTRIBUTE temp NUMERIC
@ATTRIBUTE humidity NUMERIC
@ATTRIBUTE dewpoint NUMERIC
@ATTRIBUTE pressure NUMERIC
@ATTRIBUTE light NUMERIC
@ATTRIBUTE rain {0,1}

@data
34.4,49.6,22.35,1005.68,909,0
27.7,72.5,22.31,1008.21,213,0
32.4,57.6,22.96,1005.32,935,0
31,52,20,1004.71,213,0
26.4,85.3,23.73,1007.14,239,0
32.9,51.2,21.49,1007.35,851,0
33.6,57.5,24.05,1003.9,987,0
36.9,41.8,21.8,1008.81,941,0
29.4,62.6,21.52,1006.1,472,0
27.1,76.8,22.68,1008.01,212,0
27.2,81.8,23.82,1009.57,243,0
32.7,51.1,21.28,1007.11,851,0
32.7,57.5,23.22,1005.04,846,0
28.2,83.1,25.06,1006.83,241,0
29.6,73.8,24.43,1005.33,241,0
29.3,65.1,22.07,1009.96,241,0
30.6,64.7,23.19,1009.27,957,0
26.7,67.3,20.14,1008.73,777,0
